model,setup,context,calendar,nMAE
t0-alpha,A,512,False,6.050437927246094
t0-alpha,A,512,True,6.0381364822387695
t0-alpha,A,1024,False,5.959845066070557
t0-alpha,A,1024,True,5.971778392791748
t0-alpha,A,2048,False,5.875777244567871
t0-alpha,A,2048,True,5.937525749206543
t0-alpha,A,4096,False,5.832169532775879
t0-alpha,A,4096,True,5.933294296264648
t0-alpha,B,512,False,5.312209606170654
t0-alpha,B,512,True,5.273158073425293
t0-alpha,B,1024,False,5.199461460113525
t0-alpha,B,1024,True,5.098458290100098
t0-alpha,B,2048,False,5.192882537841797
t0-alpha,B,2048,True,5.058854579925537
t0-alpha,B,4096,False,5.259518623352051
t0-alpha,B,4096,True,5.037903308868408
t0-beta,A,512,False,6.152709007263184
t0-beta,A,512,True,6.124171733856201
t0-beta,A,1024,False,6.038206100463867
t0-beta,A,1024,True,6.003322124481201
t0-beta,A,2048,False,5.973154544830322
t0-beta,A,2048,True,5.912766933441162
t0-beta,A,4096,False,5.9415202140808105
t0-beta,A,4096,True,5.966674327850342
t0-beta,B,512,False,5.266429424285889
t0-beta,B,512,True,5.3616156578063965
t0-beta,B,1024,False,5.087307453155518
t0-beta,B,1024,True,5.096158981323242
t0-beta,B,2048,False,5.071327209472656
t0-beta,B,2048,True,5.0490546226501465
t0-beta,B,4096,False,5.053503513336182
t0-beta,B,4096,True,5.071326732635498
chronos-2,A,512,False,6.036538600921631
chronos-2,A,512,True,6.015115737915039
chronos-2,A,1024,False,5.965514659881592
chronos-2,A,1024,True,5.85360050201416
chronos-2,A,2048,False,5.856328964233398
chronos-2,A,2048,True,5.870151519775391
chronos-2,A,4096,False,5.852440357208252
chronos-2,A,4096,True,5.926051616668701
chronos-2,B,512,False,5.50697135925293
chronos-2,B,512,True,5.363265037536621
chronos-2,B,1024,False,5.454277038574219
chronos-2,B,1024,True,5.2098517417907715
chronos-2,B,2048,False,5.446243762969971
chronos-2,B,2048,True,5.214447498321533
chronos-2,B,4096,False,5.593184471130371
chronos-2,B,4096,True,5.511082172393799
timesfm-3.0,A,512,False,5.932162284851074
timesfm-3.0,A,512,True,5.885356426239014
timesfm-3.0,A,1024,False,5.8193230628967285
timesfm-3.0,A,1024,True,5.890391826629639
timesfm-3.0,A,2048,False,5.863438129425049
timesfm-3.0,A,2048,True,5.802738666534424
timesfm-3.0,A,4096,False,5.860382080078125
timesfm-3.0,A,4096,True,5.817378520965576
timesfm-3.0,B,512,False,4.855367660522461
timesfm-3.0,B,512,True,4.9213104248046875
timesfm-3.0,B,1024,False,4.750490188598633
timesfm-3.0,B,1024,True,4.751786708831787
timesfm-3.0,B,2048,False,4.784078121185303
timesfm-3.0,B,2048,True,4.794807434082031
timesfm-3.0,B,4096,False,4.782447338104248
timesfm-3.0,B,4096,True,4.798529148101807
